,Lat,Lon,Val,Unnamed: 3
12005,-64.57123913,-31.17979932,6.712996250304582,
12006,-64.436104,-31.17979932,6.785066395900635,
12007,-64.30096887,-31.17979932,8.184754832530642,
12008,-64.16583374,-31.17979932,9.826333285721487,
12009,-64.03069861,-31.17979932,11.12220619112968,
12010,-63.89556348,-31.17979932,12.35999855001416,
12137,-64.57123913,-31.31493445,5.848466962573426,
12138,-64.436104,-31.31493445,6.425226394222562,
12139,-64.30096887,-31.31493445,8.298450131760736,
12140,-64.16583374,-31.31493445,10.59141167344555,
12141,-64.03069861,-31.31493445,11.8995596885978,
12142,-63.89556348,-31.31493445,12.90050560676248,
12267,-64.57123913,-31.45006958,5.665152280762484,
12268,-64.436104,-31.45006958,6.439345612034632,
12269,-64.03069861,-31.45006958,11.74879553987098,
12270,-63.89556348,-31.45006958,12.82280435038966,
12390,-64.57123913,-31.58520471,5.725624792639939,
12391,-64.436104,-31.58520471,6.595124257861627,
12392,-64.30096887,-31.58520471,8.008370367166611,
12393,-64.16583374,-31.58520471,9.730137760989471,
12394,-64.03069861,-31.58520471,11.1146514375682,
12395,-63.89556348,-31.58520471,12.42395452135941,
